target,species
ManNAcA(b1-4)GlcNAc(a1-3)FucNAc(a1-4)ManNAcA,Escherichia_coli
Galf(b1-3)GalNAc(b1-3)[NeuNAc(a2-6)]Gal(b1-6)Galf,Escherichia_coli
GlcNAc(a1-2)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc,Escherichia_coli
Gal(a1-2)Gal(a1-2)[Gal(b1-4)]Glc(a1-3)Glc,Escherichia_coli
Man(a1-3)[Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Acer_pseudoplatanus
GlcNAc(b1-2)Man(a1-3)[Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Acer_pseudoplatanus
GlcNAc(b1-2)Man(a1-6)[Man(a1-3)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Acer_pseudoplatanus
Fuc(a1-6)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Acer_pseudoplatanus
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Acer_pseudoplatanus
Fuc(a1-6)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-3)[Fuc(a1-6)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Acer_pseudoplatanus
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-2)Man(a1-3)[Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-2)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Acer_pseudoplatanus
Galf(b1-2)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Acremonium_sp
Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Acremonium_sp
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Acremonium_sp
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Acremonium_sp
Galf(b1-2)[Man(a1-3)][Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Acremonium_sp
Man(a1-3)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Acremonium_sp
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Acremonium_sp
